Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper1v90cxgm7zklagnkv9lm4j9lwgphkuvnc5439e9,cosmos1v90cxgm7zklagnkv9lm4j9lwgphkuvnc3p9s4k,interchain.FM🥩,VVqzrNL2fdkhnJunntTuGQ1yeS7HIdtEsO0DxENR7tg=,2C7BD775ADCEF7D093838DD03935620D33DCD1A3,cosmosvalcons193aawaddemmapyur3hgrjdtzp5eae5dryp8va4,BOND_STATUS_BONDED,cosmosvalcons193aawaddemmapyur3hgrjdtzp5eae5dryp8va4,2C7BD775ADCEF7D093838DD03935620D33DCD1A3
cosmosvaloper1vxcmfktf9c7ggzhjy0a8rp83327hvyfatlsxun,cosmos1vxcmfktf9c7ggzhjy0a8rp83327hvyfawtynsq,\tEZStaking.io,5FqKbohcc6IlRdXiv7PKOXVrV4oqEzpMvTWmIIXKpkE=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper1v89yxr0dn4kdgg4e8f9zmlnmykmvaruj5e00wa,cosmos1v89yxr0dn4kdgg4e8f9zmlnmykmvaruj3dm6zw,Huginn,mSC+ouhzm4t77HbKSEjSrbFr+tsKu4qpH+KSrj/vVSw=,8E28576941D6BE05A20C29CAF1D8E4B96EA82DB0,cosmosvalcons13c59w62p66lqtgsv9890rk8yh9h2stdsch4l8e,BOND_STATUS_BONDED,cosmosvalcons10kcennddk66r0rlh4y92ysgzmmawrky3gh5p2l,7DB199CDADB6B4378FF7A90AA24102DEFAE1D891
cosmosvaloper1vtpr8re2vc9jaake2sw799te6hmn9sgsl63dxz,cosmos1vtpr8re2vc9jaake2sw799te6hmn9sgs6w9c23,CharlesHoskinson,t2AN9fSAU6d9keHZaHzTcmMkY9mLKhh5tfRPVrX+USs=,6A5EE09C311E601B7ABB541354516079E1F33CA0,cosmosvalcons1df0wp8p3respk74m2sf4g5tq08slx09qrp0m97,BOND_STATUS_BONDED,cosmosvalcons17t0z5mkv89p3px8r8e5tqhtl52xjqazvf545h8,F2DE2A6ECC39431098E33E68B05D7FA28D20744C
cosmosvaloper1d8ks83q0e3ehs86ds5xt7rm68ma2g357yq3xht,cosmos1d8ks83q0e3ehs86ds5xt7rm68ma2g357p59nmc,coinhall.org 📈🔄,jJeQy0IOBQp6CgfRR9NoZ891VpSc3WzT6qdaxgy8uNs=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1ddfsxrt0uufuuvhap929jwn06yvfyrf2vk8403,cosmos1ddfsxrt0uufuuvhap929jwn06yvfyrf2fznqrz,S16 Research Ventures,39Xn/aMpG6Y3dYoQpvt+uwC/l4a244uxlrqW2qJt9UE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1dje4kw2n0utlnxc9vd6u0jstnk6mma9gter6ru,cosmos1dje4kw2n0utlnxc9vd6u0jstnk6mma9gwdh000,GFY,qslg7PlQuJQgb+8T49QW9O3n++B4b5tWVAOLrx2VYYg=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1dh9d765360s2tchv7ezwnhqkweyyhwzfnfr8hg,cosmos1dh9d765360s2tchv7ezwnhqkweyyhwzfkahjmm,Node Guardians,iJIqFb/77Mx0u6Xjb/HCtoe5/6ikq8qPkdMW+VvgMPI=,6B393E5CC75471920603A932EE4CA26F33EE2381,cosmosvalcons1dvunuhx823ceypsr4yewun9zdue7ugupc9r0vp,BOND_STATUS_BONDED,cosmosvalcons19j8yt26gqqsm8wgrhynjr42m5acz5espjl7484,2C8E45AB480021B3B903B92721D55BA7702A6601
cosmosvaloper1dhlw93nwt80ymr3w7vn6elkplsmlwyh4vdh2j6,cosmos1dhlw93nwt80ymr3w7vn6elkplsmlwyh4ferl7f,✅ CryptoCrew Validators #IBCgang,ptPkdYI1OIxrC4wJ1Limjr68sZKDvWm66jkaEG+ZEqg=,A4761D92E8A6A79621816D15641404F476257A88,cosmosvalcons153mpmyhg56nevgvpd52kg9qy73mz275glels0e,BOND_STATUS_BONDED,cosmosvalcons1nh646ws6lqkuk2zx3awp74sn2smdj5xgemkkce,9DF55D3A1AF82DCB28468F5C1F56135436D950C8
cosmosvaloper1d74a2nz4eqtpy3t29d7h8ha5r4k3vyxww3xzyw,cosmos1d74a2nz4eqtpy3t29d7h8ha5r4k3vyxwt9jhga,Doma🏠Nodes,mul7/ReVLmp8mO9PORrRdqIRJDdT0cyP/Y8m0M1LuyE=,,,BOND_STATUS_UNBONDED,,
